No.,Liner company,Route code
1,Maersk,AE10
2,Maersk,AE11
3,Maersk,AE5
4,Maersk,AE55
5,Maersk,AE6
6,Maersk,AE7
7,CMA CGM,FAL 1
8,CMA CGM,FAL 2
9,CMA CGM,FAL 3
10,CMA CGM,FAL 5
11,CMA CGM,FAL 6
12,CMA CGM,FAL 8
13,COSCO Shipping,AEU1
14,COSCO Shipping,AEU2
15,COSCO Shipping,AEU3
16,COSCO Shipping,AEU5
17,COSCO Shipping,AEU6
18,COSCO Shipping,AEU7
19,COSCO Shipping,AEU9
20,Hapag-LIoyd,FP1
21,Hapag-LIoyd,FE3
22,Hapag-LIoyd,FE9
23,Evergreen Marine,CES
24,Evergreen Marine,CEM
25,Evergreen Marine,FAL 3
26,Evergreen Marine,MEX1
27,Evergreen Marine,MD2
28,Evergreen Marine,NE1
29,Evergreen Marine,NE3
30,Evergreen Marine,NE7
31,Evergreen Marine,OGEU
32,Evergreen Marine,BEX2
33,ONE,FE2
34,ONE,FE4
35,ONE,MD1
36,ONE,MD3
37,ZIM,ZMP
